Category,Price,Rating,Stock,Discount
,7965,3.05295501,Out of Stock,9
,4424,4.992992178,In Stock,41
B,4743,,Out of Stock,30
,9729,1.735501044,,33
,2314,2.950400141,Out of Stock,34
,2753,4.976548188,,46
,2085,,In Stock,37
,587,,,15
,,,Out of Stock,28
B,6444,,In Stock,44
,1322,,,41
D,9833,,Out of Stock,25
,531,3.763509325,In Stock,5
,2153,3.227096171,Out of Stock,45
,5119,1.77370182,Out of Stock,48
,8627,1.610264032,Out of Stock,
,297,,Out of Stock,3
,5426,,Out of Stock,22
C,273,1.418083459,,4
,3164,1.856487649,,
D,3836,,,31
C,907,,In Stock,4
,,,Out of Stock,
,944,,In Stock,44
,6618,2.390335592,In Stock,24
,580,1.490735079,In Stock,38
,7422,1.388789992,In Stock,40
C,8748,1.527482504,,6
,2526,,,19
,2193,,,8
,2141,1.442735678,In Stock,36
,8942,4.356030324,Out of Stock,43
D,3311,3.779833637,Out of Stock,42
,3601,,Out of Stock,10
,2908,,Out of Stock,43
B,9772,4.386476094,In Stock,1
,4953,2.556363088,Out of Stock,13
,3596,,,30
,5570,1.211041221,,24
A,572,,Out of Stock,
,413,3.875076251,Out of Stock,24
,9448,,In Stock,31
,1476,3.283649655,,32
D,6094,,,20
,1360,,,36
C,4651,,,29
,2630,,In Stock,29
C,2708,1.593960655,,40
C,6768,,,34
D,1072,,Out of Stock,20
A,5966,,,15
,1357,1.575677158,Out of Stock,47
B,4688,1.013644458,Out of Stock,39
C,5135,1.397958088,Out of Stock,43
B,5835,,,20
,2489,,In Stock,43
C,2831,4.015490083,,30
A,6309,,,34
,868,4.447012481,,5
,2951,,Out of Stock,37
C,7595,,,27
,4775,1.970066334,,14
,3462,,Out of Stock,8
C,5131,4.236650019,In Stock,40
,5159,,In Stock,30
,978,,Out of Stock,7
B,6750,2.240162267,In Stock,21
,1035,4.095231038,Out of Stock,7
,9682,4.489641074,In Stock,36
B,9919,2.91635133,,4
,5085,,Out of Stock,7
A,1448,1.578281882,In Stock,28
,6307,4.954964905,Out of Stock,
,6101,4.210077431,In Stock,0
D,6054,,Out of Stock,36
,2410,3.118344839,In Stock,
,2579,,Out of Stock,34
D,5841,4.241377172,Out of Stock,19
,,,,
,7321,4.762416364,Out of Stock,
,1434,,In Stock,46
C,,4.403474798,In Stock,21
C,1680,,,46
B,1076,3.472829215,Out of Stock,12
,8772,,Out of Stock,6
,6797,4.295197752,,32
,9848,4.571325151,Out of Stock,13
,4384,4.295469147,In Stock,5
,8403,4.420791317,In Stock,30
,8281,,In Stock,15
,8486,,In Stock,34
,7882,3.499802616,,22
,9644,,Out of Stock,7
A,2934,,Out of Stock,25
D,8941,,,
D,7260,,Out of Stock,21
C,2987,2.20114132,In Stock,31
D,9653,,Out of Stock,
A,5196,3.818020813,,26
,5015,4.508928573,Out of Stock,13
,716,,,33
,,3.7085414,In Stock,41
,6966,1.236107425,In Stock,24
,4024,,,35
,7878,3.317701614,,3
A,,2.800727782,In Stock,6
,7987,,,39
,6208,4.056545931,,44
,7770,,In Stock,44
,7321,3.453911916,In Stock,
B,9394,1.942344464,,47
,1406,3.22371146,Out of Stock,13
C,1871,,Out of Stock,29
,1348,,,18
,8474,3.987314096,Out of Stock,35
,1102,4.65598457,Out of Stock,29
,6105,,Out of Stock,35
,5797,1.10844843,In Stock,35
,8774,1.774009819,In Stock,19
,8547,,Out of Stock,47
,816,3.809783416,Out of Stock,2
B,7656,2.781461153,In Stock,20
,6616,,,7
A,1499,,Out of Stock,38
B,5995,3.091445142,In Stock,18
,3007,,,7
,311,,,18
,3112,,Out of Stock,15
B,8240,3.652888298,In Stock,48
,4606,,In Stock,7
B,3368,1.688999755,,7
B,9265,,In Stock,24
B,6898,,,
D,390,2.527515739,,6
A,3669,,Out of Stock,17
B,9746,,Out of Stock,14
,9408,,In Stock,31
,8843,,,2
,4296,,In Stock,33
,4085,1.552376432,In Stock,33
C,5972,3.103611591,,
,5512,,Out of Stock,26
C,3305,3.926798443,In Stock,5
,7738,3.266528515,In Stock,27
,5578,4.85474897,,36
,229,,,3
,4443,3.160280553,In Stock,48
,9317,2.539409378,In Stock,17
,7683,3.47373906,,45
C,857,,Out of Stock,5
B,702,2.238852278,In Stock,45
,,,Out of Stock,
A,5370,,In Stock,1
B,5499,4.118607925,Out of Stock,48
D,8711,4.232480533,In Stock,1
,8405,4.626298947,,18
,399,,In Stock,18
,3241,,In Stock,47
,273,,In Stock,5
B,4364,3.491178315,Out of Stock,35
,6554,4.901451621,Out of Stock,39
,9571,,In Stock,3
,772,,Out of Stock,43
,,,,1
,9685,2.091469996,In Stock,41
,9471,,,37
,8513,1.63448425,,3
,8767,,Out of Stock,38
A,4625,3.670805771,,
,3883,3.931179035,,33
A,5281,2.141793154,In Stock,41
,1265,4.460394571,,7
A,5164,,,38
,1780,2.201523166,In Stock,36
,3022,4.203255409,Out of Stock,16
B,5880,,In Stock,43
,3101,,,35
,2993,,,8
,7642,,In Stock,45
,7620,2.758632459,In Stock,23
,8010,,Out of Stock,26
,8493,,,14
,8977,4.54885495,,49
,5680,1.41723833,,39
D,9536,,,33
D,7810,1.481073746,In Stock,38
D,6108,2.474654234,,10
,9624,,,25
B,2162,,In Stock,38
,263,4.652271734,Out of Stock,
,7003,1.930083337,In Stock,19
,5601,,In Stock,32
A,2558,,Out of Stock,33
C,3826,3.821176638,In Stock,43
,4048,,Out of Stock,29
,3898,1.027062133,Out of Stock,18
D,645,2.454962136,,42
,3556,,In Stock,30
,4059,,Out of Stock,36
,8326,1.338459718,In Stock,
D,1183,2.746028971,Out of Stock,43
,5963,,In Stock,18
B,5973,2.750414246,In Stock,42
,9025,,,27
D,4690,2.062145612,In Stock,13
,,,,24
D,2494,3.619980556,Out of Stock,
,8641,2.648164553,,41
C,3836,,,33
,303,,,22
,628,,Out of Stock,24
,2006,4.956117744,In Stock,9
B,5235,1.823431056,Out of Stock,11
,5352,3.931256859,In Stock,9
,4269,,In Stock,26
A,5315,2.162387429,,49
,4300,,Out of Stock,23
,,4.557730651,In Stock,27
A,4823,,In Stock,35
,7285,,In Stock,9
A,2090,,Out of Stock,4
,7018,,In Stock,20
B,9607,4.78979545,,10
B,3178,4.165977428,In Stock,20
B,1378,4.81070385,In Stock,42
D,2469,,In Stock,47
A,2053,3.317306005,In Stock,
,9449,,In Stock,12
B,7574,4.597769152,Out of Stock,28
B,2629,,In Stock,28
,9443,4.430256738,In Stock,16
C,9149,,Out of Stock,30
D,,,,0
,8110,,Out of Stock,12
,5001,3.111345273,Out of Stock,6
,4945,3.102738577,In Stock,27
A,5065,,Out of Stock,
B,1425,3.747818333,In Stock,40
A,8714,4.05387378,In Stock,
,9964,,,36
A,7245,3.926151476,,14
,1493,3.900723431,Out of Stock,18
D,5681,4.728030581,Out of Stock,39
,698,,Out of Stock,8
,8109,,In Stock,40
,1475,,Out of Stock,3
,103,,,16
C,5350,4.408158703,Out of Stock,27
,4344,4.158135045,,12
B,6216,3.885563882,Out of Stock,10
B,7410,,Out of Stock,11
,908,,,12
,5949,,,32
,4348,4.831264996,In Stock,37
,2425,1.280146153,,34
D,6698,,,
,1951,1.283084495,Out of Stock,38
C,8300,1.346404524,,29
,3888,3.038160198,,20
C,4005,2.026526908,Out of Stock,40
A,9854,2.694786816,Out of Stock,3
,1064,,,14
B,8598,4.070810494,Out of Stock,29
,6216,,In Stock,14
,4776,3.879422822,,36
,1856,1.84046304,Out of Stock,31
D,3555,1.228609704,In Stock,
,2607,,In Stock,21
,,,Out of Stock,
C,7122,,In Stock,1
,6550,1.450351704,Out of Stock,23
C,1366,4.711987441,,38
C,7081,,,24
,577,,,20
,8936,1.934474586,,13
,823,1.094312981,In Stock,44
C,3458,,In Stock,6
A,9852,2.023945041,Out of Stock,26
,8394,,Out of Stock,12
B,5579,,Out of Stock,
,6696,,,0
,9038,3.792991317,Out of Stock,49
B,5575,3.830638131,,28
C,2934,,In Stock,28
,4907,,Out of Stock,
,2359,1.234748701,Out of Stock,
B,3064,2.974713116,In Stock,13
,9689,3.898176359,,47
C,3017,3.398362562,In Stock,47
,1186,3.214620582,Out of Stock,38
,,2.046778923,Out of Stock,8
,597,3.792008442,In Stock,47
,9172,,,
A,5842,,Out of Stock,40
,9693,2.760583601,,47
,2780,,In Stock,
,1160,4.232012628,In Stock,25
,,3.125256652,In Stock,
,2373,,Out of Stock,10
B,8478,,,38
,2885,3.292187368,,4
,1871,2.699047462,Out of Stock,27
D,9802,,In Stock,36
,9101,,Out of Stock,1
,8077,3.110698203,Out of Stock,20
,878,,,10
,4470,,,49
,9895,3.588648082,In Stock,5
,1400,4.130239033,In Stock,
A,244,2.263985595,In Stock,4
,7247,,Out of Stock,16
,860,4.764904532,,18
,9078,3.200384235,In Stock,30
A,9997,,,27
,9958,4.163330986,,1
,3894,,In Stock,15
D,5901,3.33037534,In Stock,31
,1746,,In Stock,34
C,7019,2.301755275,,41
,4316,,Out of Stock,11
B,3019,3.434520378,In Stock,44
,1898,1.062002358,Out of Stock,0
D,4042,2.92666232,Out of Stock,35
B,,1.377046094,,35
,3807,2.788718126,Out of Stock,15
,1871,3.355528909,,43
D,5843,,Out of Stock,24
,2462,2.14258953,Out of Stock,
,5671,,Out of Stock,35
,2163,,In Stock,2
B,141,2.044135976,In Stock,15
,5263,,,10
C,3097,,Out of Stock,28
,6903,,Out of Stock,12
,8516,3.544980062,,11
,4207,1.319022509,Out of Stock,3
,9598,3.699077231,In Stock,7
,9792,1.743031067,Out of Stock,26
C,2463,2.946698992,In Stock,45
B,6103,1.617805636,Out of Stock,45
,4967,2.4686099,,41
,8872,2.328695177,,13
,9765,,,19
,9650,,,24
,1493,,Out of Stock,36
,1462,,In Stock,0
,2642,,In Stock,23
,7573,4.489969796,Out of Stock,22
,3785,1.384911857,In Stock,2
,7431,2.221917332,Out of Stock,10
A,3885,,In Stock,1
,,,Out of Stock,4
,2054,4.020705695,In Stock,2
,2294,,In Stock,1
,5652,,Out of Stock,4
C,4468,,,40
A,4861,2.394329224,In Stock,14
,8509,,,32
,,1.60752123,,14
,213,1.309339081,In Stock,30
D,6302,,Out of Stock,40
,4599,2.705919699,,16
,1054,,In Stock,17
B,6431,,In Stock,4
,6437,2.023571355,,33
C,8137,,Out of Stock,1
,2935,,In Stock,10
C,5273,2.41368793,,10
,4077,,Out of Stock,16
,3385,,,31
,6143,,,11
,4185,,In Stock,13
,4962,3.120587146,Out of Stock,46
,2341,,,19
D,3945,1.873916738,,36
,2806,3.092530207,Out of Stock,28
D,6057,4.704368946,In Stock,48
,9011,,In Stock,
,3978,2.412441128,In Stock,32
,1707,,,
,855,,Out of Stock,7
,1279,4.968169216,Out of Stock,36
,8705,4.899799222,In Stock,23
,7317,1.159973318,,0
,9972,,Out of Stock,15
,4194,,Out of Stock,36
,1152,,Out of Stock,
,1155,,In Stock,38
C,7400,2.794173201,In Stock,18
B,1241,3.728174431,In Stock,9
,4774,2.311133034,Out of Stock,14
,9789,3.979390199,In Stock,14
B,6906,,Out of Stock,41
,5383,3.093622925,In Stock,27
,7721,4.973106648,Out of Stock,34
C,,1.303464721,Out of Stock,7
,4789,,Out of Stock,0
D,,,In Stock,40
,3855,,Out of Stock,46
B,1697,,,4
,3227,,Out of Stock,42
A,8483,,In Stock,
,687,1.788130319,In Stock,25
,8073,,Out of Stock,4
A,7280,2.153805081,Out of Stock,23
,1124,1.297694055,,29
,4419,,In Stock,13
,8891,,In Stock,37
B,247,3.751445774,,10
,9324,3.025832704,Out of Stock,37
,4905,1.50058312,,7
,7605,,Out of Stock,4
D,1237,1.279288935,,44
D,4000,4.494689666,,
D,5788,3.940537274,,37
B,7356,1.820593629,In Stock,11
,1061,4.202112381,Out of Stock,8
,2302,,In Stock,8
,5634,,Out of Stock,46
,7297,,,4
,5207,4.598479017,Out of Stock,3
,561,1.215438912,In Stock,
,922,,Out of Stock,
,6349,3.732495826,Out of Stock,
D,7719,1.955424859,In Stock,39
,186,4.1873013,,24
,2971,1.662035827,In Stock,10
,4495,,,4
,5672,3.152687057,,27
,7487,,In Stock,21
D,8989,,,6
,483,4.946046913,In Stock,32
,6710,1.791122243,Out of Stock,27
C,1685,,,6
,6014,,Out of Stock,14
A,5261,4.32659017,Out of Stock,12
C,3481,3.041725997,In Stock,26
B,6090,,In Stock,21
C,9574,,In Stock,45
,9464,1.976245629,Out of Stock,40
,3074,1.064510351,In Stock,34
,5674,1.128101183,In Stock,49
,2271,1.599050224,Out of Stock,20
,347,,,41
,4847,2.722617028,,3
,329,4.546468671,In Stock,48
A,7150,2.977534834,In Stock,12
,8468,,,24
,9742,4.371794267,Out of Stock,20
B,2659,4.690972541,,32
C,2396,2.573546956,,0
,528,,In Stock,17
,1827,,Out of Stock,37
A,4385,2.904320873,,2
C,6576,,In Stock,23
,2821,1.616670621,,14
C,,,,32
,6812,,In Stock,26
A,8754,,In Stock,7
,5077,,,10
,4175,,,8
,8341,1.032464768,In Stock,15
,6138,,,18
,1973,,In Stock,6
,7355,2.453411434,Out of Stock,5
B,906,2.25422441,Out of Stock,25
D,8779,,,26
,124,,In Stock,19
,5408,3.772788055,Out of Stock,19
C,4501,2.295327989,In Stock,
D,7053,4.34637662,In Stock,31
,3751,4.822191172,,
,9833,,In Stock,26
A,8339,3.558316017,In Stock,22
C,1884,,,38
D,6107,,,24
C,1258,4.516189227,Out of Stock,37
,5039,4.016191571,In Stock,28
,3074,3.585064181,Out of Stock,24
A,3020,3.3865934,In Stock,28
,2271,4.477057359,In Stock,13
A,640,,,26
C,1521,,,42
,6878,2.755873466,In Stock,19
D,2674,,In Stock,
,924,,,49
,8067,3.479179342,,20
,,,In Stock,12
C,6491,3.651875309,Out of Stock,18
D,5957,,In Stock,35
,,3.224233325,Out of Stock,40
,4393,,Out of Stock,48
D,263,,Out of Stock,19
,6311,4.30510536,In Stock,2
,873,,Out of Stock,
D,5053,,Out of Stock,5
,1641,,Out of Stock,41
,1140,,In Stock,43
,1689,,In Stock,28
A,5690,2.53064748,In Stock,42
,9250,2.065038992,In Stock,2
D,6666,3.164385411,In Stock,36
,2146,1.489775649,In Stock,27
,9210,1.844376017,,7
,4103,2.096919118,In Stock,14
,3301,,Out of Stock,3
A,5398,2.939921336,In Stock,31
,7066,,,21
,2048,4.117404864,,
D,446,2.814045332,Out of Stock,17
B,8127,,Out of Stock,26
,3012,1.038128379,In Stock,12
,5693,,In Stock,17
A,9456,1.227716415,In Stock,40
A,1832,,In Stock,26
,7640,1.035964941,Out of Stock,34
,9980,,Out of Stock,1
C,7511,,Out of Stock,33
,1025,,In Stock,5
,5867,4.13311489,,18
,1907,,,16
,2886,2.351454033,In Stock,7
,3733,3.195066628,Out of Stock,22
D,7288,,In Stock,8
D,9390,1.736712394,Out of Stock,4
,9037,,Out of Stock,
,102,4.467553452,Out of Stock,19
A,580,,,17
,1870,1.047904207,,15
,9076,2.501426448,,34
,7248,3.575076519,In Stock,34
,4394,2.605273975,,31
,5408,2.378437337,,4
,1642,,In Stock,13
C,5458,2.097676289,Out of Stock,
C,6387,4.992309231,In Stock,
,9702,2.449885496,In Stock,48
,5335,2.544738725,Out of Stock,25
,7985,,Out of Stock,1
,9788,1.123966934,In Stock,40
,1362,,In Stock,15
C,3225,,,
D,9180,3.859879619,In Stock,23
,7287,,In Stock,27
,3687,2.929516447,Out of Stock,11
C,2087,2.647342699,In Stock,37
,,4.802708674,In Stock,43
C,4756,1.620261043,In Stock,
D,6464,2.856853817,In Stock,
D,1947,,In Stock,42
A,7681,2.873701777,In Stock,33
B,8761,,In Stock,9
A,5528,,,35
,2191,2.414634683,In Stock,37
,5661,,Out of Stock,3
,880,4.883646612,,24
B,855,2.82351236,,
,2420,,,25
,2291,4.941379646,In Stock,1
,7224,4.029540693,Out of Stock,41
A,4878,,Out of Stock,3
D,1136,,In Stock,47
,,3.503204175,,14
,7435,,,7
,7807,4.79121881,,46
,8874,2.094964448,Out of Stock,48
,6348,,,40
,2585,,In Stock,40
,8681,2.587151908,Out of Stock,28
,6359,3.100418041,,17
,8410,3.956249795,,7
,8964,2.854082076,Out of Stock,
,,,Out of Stock,25
,1888,,In Stock,37
,6110,,Out of Stock,43
,3526,,,8
,7199,2.534106499,In Stock,42
,9439,,In Stock,32
,5097,1.987885361,In Stock,41
,8031,4.025766746,,48
,2205,1.260327458,In Stock,
,3240,2.865361848,In Stock,8
B,3263,,Out of Stock,30
,1322,1.591617819,,24
,3261,,In Stock,36
,9392,,,7
,3833,3.864901022,,48
,,3.71436069,,37
,1962,1.882743758,,
,2266,2.533517605,,6
,8889,3.369023778,In Stock,7
,270,4.585342504,,16
C,3231,4.696794471,,44
D,981,1.999054721,In Stock,18
,8654,,,45
,1253,,,20
,824,1.068409357,In Stock,4
,3638,2.148976318,,14
,740,,,49
D,3768,1.263782899,In Stock,40
,9185,,Out of Stock,9
,6373,4.6076648,Out of Stock,26
C,2408,,Out of Stock,48
A,6998,4.864179522,In Stock,16
,2074,3.324158951,Out of Stock,27
,7533,,In Stock,
,206,,Out of Stock,24
A,4726,4.108624764,Out of Stock,44
,5783,4.592684611,In Stock,17
,1560,3.934529854,Out of Stock,31
A,9918,1.118967883,,40
,2030,3.764782582,,16
D,3745,,,
,4900,,In Stock,4
,5737,,,41
,7045,,Out of Stock,30
A,2748,2.175996366,In Stock,22
,4714,4.452471942,In Stock,33
B,2013,,Out of Stock,
,1394,,In Stock,31
,7465,,Out of Stock,33
,7701,,In Stock,41
C,4894,2.511933277,Out of Stock,33
A,4843,,Out of Stock,9
,8736,,Out of Stock,13
B,9120,1.507027373,,39
,2427,,Out of Stock,39
,4535,3.733718456,,20
C,2330,3.588283747,Out of Stock,19
,1218,1.382636405,In Stock,14
,7142,4.814401443,In Stock,2
A,9622,,,28
,9258,1.592830948,In Stock,45
A,5072,1.308485154,,15
,3168,,,5
A,6649,,Out of Stock,9
A,7425,3.930987622,Out of Stock,24
,8623,3.27442487,,30
D,4867,,In Stock,5
,3405,3.217731353,In Stock,40
,4240,,In Stock,48
,341,2.752335863,,21
,4403,,In Stock,49
,9457,1.121511541,Out of Stock,
,5292,3.558405153,Out of Stock,25
,4072,4.609600421,In Stock,11
D,4191,,In Stock,43
,3027,,Out of Stock,0
,2249,,In Stock,49
,8792,,In Stock,18
,4287,2.597766762,Out of Stock,44
,3523,2.500812481,Out of Stock,32
D,979,,,27
,,4.46420506,,45
,614,3.412714872,,28
D,2424,3.039379725,Out of Stock,32
A,5817,3.161971515,,24
,9563,1.103203498,Out of Stock,9
D,6712,,,36
,2864,1.374962335,In Stock,46
,5196,3.530322849,Out of Stock,35
A,8066,2.094705204,Out of Stock,21
D,3106,4.489099382,,34
D,7814,4.75101558,In Stock,23
,4678,3.520867804,In Stock,42
,6026,,In Stock,40
,5711,1.637830901,,41
,9460,3.299918608,In Stock,34
,2352,,Out of Stock,11
D,5589,4.085492347,In Stock,19
,894,,,17
,5496,1.200074335,,14
,2779,4.351952164,Out of Stock,45
,752,,In Stock,31
A,4745,,,5
,7978,3.801318375,In Stock,32
B,6583,3.828275752,,36
,4874,,In Stock,48
,8777,3.312599491,,27
C,347,,Out of Stock,0
,,,,8
,7020,3.891771576,In Stock,21
B,1973,4.273512442,,
C,3151,,,29
,7179,4.194326328,,20
,294,,In Stock,38
,3449,,In Stock,25
B,3166,,Out of Stock,20
,6922,,,40
,3695,,In Stock,4
,5828,,,
,5273,,In Stock,26
,5549,2.048024675,In Stock,19
,1585,,,
,4676,1.268183352,,19
,5071,2.700497886,Out of Stock,27
,6691,2.121157901,Out of Stock,39
,3065,,In Stock,29
,3516,,In Stock,28
B,1354,4.168446392,In Stock,14
C,879,,,47
C,6503,,In Stock,
,6397,4.529676872,Out of Stock,2
,247,3.569110834,,26
A,3200,,,31
,5320,,In Stock,
,9076,,In Stock,38
,7930,,,38
,6582,,Out of Stock,6
C,9391,3.864020147,In Stock,20
,4355,,,4
,4330,2.569388962,Out of Stock,5
,2962,1.999391078,Out of Stock,
C,4990,3.35405353,In Stock,
D,6828,3.950308608,,29
,2771,,Out of Stock,25
,3179,,Out of Stock,48
B,2763,,In Stock,16
,2224,,Out of Stock,25
,6786,4.778414495,Out of Stock,35
,1640,,Out of Stock,36
D,5103,,,3
A,3946,3.07696013,Out of Stock,19
,,,Out of Stock,17
C,475,,,20
C,5682,,Out of Stock,6
A,,2.026997592,,29
C,3208,1.755953974,,30
C,7241,,,
,3798,,In Stock,
,1450,3.681593384,In Stock,4
C,9312,,Out of Stock,36
,6333,2.600325045,In Stock,41
,6894,2.997893821,Out of Stock,45
,800,2.041203499,Out of Stock,26
,5001,,Out of Stock,18
C,1358,1.510616146,In Stock,29
,7104,3.635080976,In Stock,47
,649,4.435194415,In Stock,
,9209,3.605904846,In Stock,21
,,1.078890043,Out of Stock,21
C,4521,,Out of Stock,6
A,2047,2.871748455,,42
C,1277,1.15963685,,15
,1697,2.276089036,Out of Stock,34
D,1198,,In Stock,40
B,2449,,,44
B,1243,,In Stock,45
D,1090,,Out of Stock,40
,4751,2.182610295,In Stock,16
D,9562,,,
,2892,4.237935914,Out of Stock,34
A,3810,,,
,9502,,In Stock,44
A,3658,3.97162635,In Stock,3
D,5271,3.413483782,Out of Stock,25
,8450,1.983625303,,11
,8465,1.781896189,In Stock,
B,7708,3.315785336,Out of Stock,
,8158,4.656888736,In Stock,20
,5371,,Out of Stock,17
,2865,,,23
,7038,1.886192103,In Stock,13
,4887,2.211875156,Out of Stock,18
,9441,,Out of Stock,32
B,2804,1.093120036,Out of Stock,42
,5520,,In Stock,47
,403,4.828010404,,20
,5048,,Out of Stock,28
,,3.576631706,,46
,1526,,,45
B,4715,4.057045455,Out of Stock,30
C,3163,1.930078186,In Stock,0
,,,Out of Stock,46
B,2807,1.3806677,Out of Stock,34
D,3823,,In Stock,36
,5702,3.349045531,In Stock,3
A,5755,4.32458394,Out of Stock,3
A,3099,,Out of Stock,5
,5133,,Out of Stock,
B,2213,,,46
C,4158,,,34
A,4021,,Out of Stock,44
C,6886,,In Stock,18
,6240,,Out of Stock,27
,9525,,,13
A,1742,4.054814421,In Stock,49
B,1580,1.25118001,In Stock,20
,5997,,In Stock,10
,7089,2.482074701,Out of Stock,16
,9926,4.161603408,In Stock,18
,5985,1.619002224,,15
,6216,3.747790804,In Stock,24
,9867,2.01974112,Out of Stock,45
,6388,3.215387337,Out of Stock,40
,416,,,5
,9784,1.892257089,,49
,1979,3.307428224,In Stock,22
D,9328,3.741103836,In Stock,
,6890,,Out of Stock,19
C,6321,,Out of Stock,21
,6174,,,39
D,336,2.736114085,In Stock,40
,7308,,In Stock,26
A,6101,4.528658033,,17
,7910,,Out of Stock,35
B,7960,,,4
,4898,2.731384004,,0
D,9288,2.047267596,In Stock,22
,8587,,,18
,9068,2.942293802,,19
,,,,42
,1072,,Out of Stock,23
,7118,4.56690104,In Stock,45
C,9973,1.200969604,Out of Stock,
C,892,1.314670841,Out of Stock,41
D,6151,3.238450232,In Stock,15
B,7612,,Out of Stock,30
,1208,,In Stock,41
B,9436,,Out of Stock,7
B,5182,1.82776052,Out of Stock,1
A,4481,,,11
C,2312,3.325562275,Out of Stock,16
D,8314,4.471499098,,7
,6398,1.938529195,Out of Stock,8
,2770,,,
,2603,,,
,8300,3.255242956,Out of Stock,25
,6462,4.319044599,,12
A,112,3.734403232,Out of Stock,23
,6288,4.902741921,Out of Stock,2
D,795,,Out of Stock,8
A,1516,,In Stock,14
B,9752,4.465997245,In Stock,29
A,7535,2.684755826,In Stock,13
C,6679,,In Stock,21
,9725,,Out of Stock,49
D,7628,,,15
B,6602,1.629195704,Out of Stock,28
,8104,3.172666913,In Stock,23
,4197,,,15
,9522,,,29
,6951,,Out of Stock,32
,5351,,In Stock,1
,7740,,Out of Stock,16
,5409,1.124400294,In Stock,9
,6005,,In Stock,
C,3675,,In Stock,16
,9989,2.084323978,Out of Stock,
,654,,,14
A,6129,3.73394661,Out of Stock,7
B,2775,,,11
,6874,4.616561392,Out of Stock,44
,4404,,In Stock,13
,774,,Out of Stock,11
A,5319,3.01401313,In Stock,
A,286,,In Stock,22
,4979,,,
,9634,,Out of Stock,22
D,2497,,In Stock,
,8326,3.81852875,,12
,4276,,Out of Stock,
,4602,1.710344906,In Stock,
,4720,2.55641981,Out of Stock,46
,4005,2.300968718,Out of Stock,11
C,9177,3.929974909,,42
,6506,,,21
,1179,,Out of Stock,6
,131,,In Stock,39
C,9841,3.809413787,In Stock,42
D,7648,3.107604524,Out of Stock,20
,500,,Out of Stock,27
,7023,1.442215697,Out of Stock,49
,5772,1.079728897,Out of Stock,24
,7677,3.617867882,Out of Stock,35
C,5357,,Out of Stock,33
,2676,,Out of Stock,33
,1898,,,24
,404,,In Stock,32
,8368,,,36
B,3282,,Out of Stock,49
,3582,4.858589462,,4
D,3890,,,46
,2828,,,23
,8503,3.728815504,In Stock,
,1216,,In Stock,32
,551,,,
,6248,,,15
,7957,3.71140148,,1
B,6456,4.790299402,Out of Stock,15
A,,,Out of Stock,48
,2652,,,34
C,624,1.177298885,Out of Stock,40
C,1801,4.852242152,In Stock,18
,3303,,Out of Stock,1
,7488,,Out of Stock,
,1293,1.518004065,,44
D,1172,,Out of Stock,24
,9812,,,29
B,7431,3.517445629,Out of Stock,20
,6956,,Out of Stock,16
,9012,,Out of Stock,21
,8412,,Out of Stock,31
,9083,,,44
,7418,,In Stock,36
B,8711,4.488839993,In Stock,5
,4384,1.234584941,Out of Stock,25
B,6204,3.803964327,In Stock,27
,5235,3.155887015,In Stock,32
C,4162,1.506986947,,23
A,108,,,24
,2278,,,28
C,2279,4.508940519,,2
D,6423,3.1048526,,25
,225,,Out of Stock,39
,6803,1.605141701,Out of Stock,14
D,5341,1.057172233,In Stock,49
C,2841,4.608064615,Out of Stock,4
,7862,1.280110298,,37
,5647,2.381149849,,3
,7018,1.689904122,,
C,1408,,In Stock,33
A,3118,3.556225067,Out of Stock,49
B,2875,2.684606273,In Stock,13
,8488,,Out of Stock,37
,3392,1.47841204,In Stock,14
,1936,,,32
,7578,,Out of Stock,35
,4910,1.320688328,In Stock,7
,2142,3.215238093,,
C,7834,,,30
D,2626,2.371213005,Out of Stock,22
C,3343,,,6
B,3382,4.054222016,Out of Stock,
,4173,,Out of Stock,28
B,9660,1.602973211,In Stock,13
A,1270,,In Stock,41
C,5952,,,41
,2934,2.430425516,,17
,6123,4.218019506,,24
,280,2.0343442,Out of Stock,0
,4971,,,11
A,1456,,In Stock,41
B,6540,2.198551575,,33
,5006,4.938816763,Out of Stock,23
B,854,,Out of Stock,24
A,9943,,In Stock,48
D,6564,,Out of Stock,23
B,1558,,In Stock,17
,7560,,,36
B,3182,,In Stock,
A,6297,4.575080452,Out of Stock,5
,5821,,Out of Stock,31
,2664,,Out of Stock,35
C,,2.570715259,Out of Stock,47
A,4611,1.598747854,Out of Stock,19
,3669,1.912336577,,42
,3143,4.053883768,Out of Stock,9
,1337,3.029884022,Out of Stock,29
,8028,,,28
C,,1.798436344,Out of Stock,3
,9267,,In Stock,4
,7682,,Out of Stock,45
,7462,3.35392134,In Stock,23
,7939,,,45
,1109,,,
,6847,,In Stock,23
,8393,,In Stock,19
A,8332,2.319985366,Out of Stock,46
B,3463,2.500502224,,46
,520,2.080893682,In Stock,6
,7043,2.708139943,In Stock,28
C,4739,,Out of Stock,0
B,395,,In Stock,40
,669,1.902966551,Out of Stock,28
A,9341,,In Stock,19
B,289,,,31
,5687,,,30
A,6872,,In Stock,29
B,8766,3.383382749,,24
D,4709,,,17
,8181,,,30
,1794,3.834140135,Out of Stock,43
,5032,2.458678238,,20
,3425,2.33567692,In Stock,16
,4250,3.367146431,Out of Stock,
D,875,2.873781117,Out of Stock,28
C,1349,3.687130177,Out of Stock,35
